dist,x,y,height,dsm,dtm
88.68309008,243277.7884,80537.76913,13.368908,238.729996,225.391678
89.86553128,243278.419,80536.76887,13.29353,238.779999,225.537872
91.04797248,243279.0496,80535.76861,12.557137,238.309998,225.714523
92.23041368,243279.6802,80534.76836,12.510427,238.309998,225.866562
93.41285488,243280.3108,80533.7681,7.154115,233.169998,226
94.59529609,243280.9414,80532.76784,7.42816,233.470001,226.111603
95.77773729,243281.572,80531.76759,9.756815,236.020004,226.191406
96.96017849,243282.2026,80530.76733,9.563334,235.979996,226.388443
98.14261969,243282.8332,80529.76707,8.884607,235.479996,226.639023
99.32506089,243283.4638,80528.76681,14.12162,240.830002,226.782501
100.5075021,243284.0944,80527.76656,16.363226,243.139999,226.770233
101.6899433,243284.725,80526.7663,17.28569,244.229996,226.891922
102.8723845,243285.3556,80525.76604,17.595215,244.740005,227.067261
104.0548257,243285.9862,80524.76578,17.046799,244.160004,227.230591
105.2372669,243286.6168,80523.76553,16.439297,243.690002,227.33934
106.4197081,243287.2474,80522.76527,13.552033,240.960007,227.46019
107.6021493,243287.878,80521.76501,12.443192,240.020004,227.580475
108.7845905,243288.5086,80520.76475,14.180632,241.809998,227.659439
109.9670317,243289.1391,80519.7645,14.650632,242.25,227.715637
111.1494729,243289.7697,80518.76424,14.553367,242.389999,227.8479
112.3319141,243290.4003,80517.76398,14.637815,242.699997,227.94664
113.5143553,243291.0309,80516.76373,14.446933,242.440002,227.963699
114.6967965,243291.6615,80515.76347,15.907348,244.050003,228.121704
115.8792377,243292.2921,80514.76321,15.394021,243.600006,228.139145
117.0616789,243292.9227,80513.76295,15.216292,243.419998,228.261841
118.2441201,243293.5533,80512.7627,15.395383,243.820007,228.35083
119.4265613,243294.1839,80511.76244,17.396072,245.830002,228.487442
120.6090025,243294.8145,80510.76218,17.62183,246.259995,228.660416
121.7914437,243295.4451,80509.76192,16.192251,244.958572,228.817062
122.9738849,243296.0757,80508.76167,15.216959,244.320007,229.154999
125.3387673,243297.3369,80506.76115,9.787647,239.031769,229.213715
126.5212085,243297.9675,80505.7609,18.786741,248.169327,229.353485
127.7036497,243298.5981,80504.76064,38.479332,267.959991,229.399643
128.8860909,243299.2287,80503.76038,38.479942,267.940002,229.509995
130.0685321,243299.8593,80502.76012,38.412014,267.910004,229.554901
131.2509733,243300.4899,80501.75987,38.876587,268.26001,229.395996
132.4334145,243301.1205,80500.75961,41.175858,270.630005,229.455902
133.6158557,243301.7511,80499.75935,41.174156,270.75,229.541977
134.7982969,243302.3817,80498.75909,16.199892,245.619995,229.453934
135.9807381,243303.0123,80497.75884,23.200493,252.630005,229.422775
